Word 1,Word 2,Cosine distance
close,halve,0.0855097373008226
close,hold,0.143589044210939
close,open,0.045264758045214
close,pick-up,0.0702866678284649
close,place-down,0.0519029166068075
close,slice,0.0887489492764253
close,pour,0.0815941431836668
close,wipe,0.1558799708666
halve,close,0.0855097373008226
halve,hold,0.0978263036860699
halve,open,0.0827258509852445
halve,pick-up,0.0710081231639225
halve,place-down,0.114183228214588
halve,slice,0.0934805650414641
halve,pour,0.0776414292502186
halve,wipe,0.118278224124008
hold,close,0.143589044210939
hold,halve,0.0978263036860699
hold,open,0.103886621549432
hold,pick-up,0.0669021654064496
hold,place-down,0.234937314389433
hold,slice,0.0513302142817702
hold,pour,0.11875767443836
hold,wipe,0.0158176034997597
open,close,0.045264758045214
open,halve,0.0827258509852445
open,hold,0.103886621549432
open,pick-up,0.0311757950604205
open,place-down,0.123578364246354
open,slice,0.0770675081437801
open,pour,0.0784764079700592
open,wipe,0.139307387341262
pick-up,close,0.0702866678284649
pick-up,halve,0.0710081231639225
pick-up,hold,0.0669021654064496
pick-up,open,0.0311757950604205
pick-up,place-down,0.169426303267544
pick-up,slice,0.0743805998594153
pick-up,pour,0.0699600588276674
pick-up,wipe,0.0946885101065148
place-down,close,0.0519029166068075
place-down,halve,0.114183228214588
place-down,hold,0.234937314389433
place-down,open,0.123578364246354
place-down,pick-up,0.169426303267544
place-down,slice,0.135771583124557
place-down,pour,0.113289610372751
place-down,wipe,0.220155971966159
slice,close,0.0887489492764253
slice,halve,0.0934805650414641
slice,hold,0.0513302142817702
slice,open,0.0770675081437801
slice,pick-up,0.0743805998594153
slice,place-down,0.135771583124557
slice,pour,0.0772310812987127
slice,wipe,0.0503783542992758
pour,close,0.0815941431836668
pour,halve,0.0776414292502186
pour,hold,0.11875767443836
pour,open,0.0784764079700592
pour,pick-up,0.0699600588276674
pour,place-down,0.113289610372751
pour,slice,0.0772310812987127
pour,wipe,0.0970422225532095
wipe,close,0.1558799708666
wipe,halve,0.118278224124008
wipe,hold,0.0158176034997597
wipe,open,0.139307387341262
wipe,pick-up,0.0946885101065148
wipe,place-down,0.220155971966159
wipe,slice,0.0503783542992758
wipe,pour,0.0970422225532095
