,Action Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,1,0.40384429758859364,0.8490476608276367,0.2734399312369704,0.13580178484846436,0.3800098960910441,0.4655172375033443,26,1,0,0.0
1,cut,2,0.40384429758859364,0.8490476608276367,0.2734399312369704,0.13580178484846436,0.3800098960910441,0.4655172375033443,26,1,0,0.0
2,cut,3,0.40930375970642596,0.8498958945274353,0.2804206679063945,0.1496030502301031,0.4054923305294409,0.4873949539379282,29,1,0,0.15
3,cut,4,0.40384429758859364,0.8490476608276367,0.2734399312369704,0.13580178484846436,0.3800098960910441,0.4655172375033443,26,1,0,0.0
4,cut,5,0.38971230293693987,0.8444196581840515,0.29976738044862206,0.13129711003345604,0.33795150915388417,0.5172413754343788,22,1,0,0.0
5,pour,1,0.7432031097925771,0.8849309086799622,0.5835293694707283,0.38553243584662633,0.6544871794871795,0.48908296447436167,36,1,0,0.15
6,pour,2,0.701212744286747,0.8568710684776306,0.5277347446845899,0.25771346491255737,0.5955710955710956,0.4635193083313379,41,1,0,0.0
7,pour,3,0.7205223838440414,0.8621121048927307,0.5753152162571111,0.2627057325031036,0.6033397207774431,0.46861924187251625,44,1,0,0.0
8,pour,4,0.733389220096507,0.8730977177619934,0.5722736758307005,0.38591633369039996,0.6416666666666666,0.4845814928486871,40,1,0,0.15
9,pour,5,0.7207703142893648,0.8687940835952759,0.5464694170380089,0.3767617104603442,0.6509615384615385,0.5066666617283951,35,1,0,0.15
10,wipe,1,0.37157086197006356,0.838830828666687,0.2971579262639194,0.0964248240291159,0.3491067117334621,0.4999999956328587,26,1,1,0.0
11,wipe,2,0.37157086197006356,0.838830828666687,0.2971579262639194,0.0964248240291159,0.3491067117334621,0.4999999956328587,26,1,1,0.0
12,wipe,3,0.40649396153334255,0.8524739742279053,0.32548574444158723,0.13941823662285574,0.40222114920328345,0.511415520527929,31,1,0,0.0
13,wipe,4,0.424058198556144,0.8565331697463989,0.3328695528549819,0.15601691786551022,0.423466924191212,0.511415520527929,33,1,0,0.0
14,wipe,5,0.37157086197006356,0.838830828666687,0.2971579262639194,0.0964248240291159,0.3491067117334621,0.4999999956328587,26,1,1,0.0
