,Reference Name,Reference Detail,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L
0,cut,1,0.7499933034390424,0.9047395388285319,0.5585981052885155,0.47856608963871444,0.6661330487371043,0.6807117626889259
1,cut,2,0.7132256102691371,0.8912959694862366,0.5340557881989495,0.4037039167284613,0.6250444681607968,0.6466436510160635
2,cut,3,0.7306349560814492,0.8957175016403198,0.5362812533887164,0.4192101015572037,0.6346495908929207,0.6576133026381444
3,grasp,1,0.48656523467694485,0.8338633378346761,0.34904217428399725,0.1956022977969619,0.41583675063464165,0.4554361090704006
4,grasp,2,0.4892736281512224,0.8323875665664673,0.3566286646260011,0.20293652288550681,0.4242335481351298,0.4541657614841472
5,grasp,3,0.49970291246051984,0.8387006123860677,0.35756399131510963,0.2081677304799492,0.4275532122632299,0.46284781790613955
6,mix,1,0.6423974499929883,0.876083234945933,0.44647482673457345,0.31573368213740044,0.5821581196581196,0.5860362549071235
7,mix,2,0.6271247917094335,0.8758945862452189,0.44767908863766115,0.3255406017481475,0.5830128205128204,0.6029954068845494
8,mix,3,0.6537588933562316,0.8730653921763102,0.46446819209033546,0.31001916136298485,0.5814102564102565,0.5653466952636951
9,pour,1,0.8306563146094706,0.9405366977055868,0.7831317222133668,0.6718470883075387,0.7837024883784522,0.813008125109666
10,pour,2,0.8421246802495402,0.9437635938326517,0.7904845806404078,0.6920701987160326,0.7950505879135904,0.8199810001398666
11,pour,3,0.8396338903338537,0.9419587453206381,0.7905934335278307,0.696832378203356,0.7942302433688816,0.8194024895836032
12,transport,1,0.6456408771548818,0.9140901962916056,0.5889761786004325,0.41524214426601064,0.5535168195718655,0.7154238615227673
13,transport,2,0.6540678575433644,0.9126962820688883,0.6101433423204453,0.4095417249669702,0.5705778206985354,0.7035106945253
14,transport,3,0.6470815724833806,0.9138462344805399,0.6028684042011326,0.42296679489060773,0.5639787542250121,0.7260595761976457
15,wipe,1,0.5336993446245087,0.8470405737559,0.38043309255710467,0.31218285523611733,0.49604156358238494,0.5067462388492389
16,wipe,2,0.5101464003036617,0.8429720600446066,0.38183863275833474,0.2960918003346063,0.48251690582220025,0.48820659106848135
17,wipe,3,0.5332270458000145,0.8431767821311951,0.3855811770315294,0.33389389433170785,0.49661883555995373,0.5061964835131348
