,Target Name,Reference Name,run,Closer to reference by n metrics
0,cut,grasp,1,6
1,cut,mix,1,5
2,cut,pour,1,6
3,cut,transport,1,6
4,cut,wipe,1,6
5,grasp,cut,1,1
6,grasp,mix,1,0
7,grasp,pour,1,5
8,grasp,transport,1,5
9,grasp,wipe,1,1
10,mix,cut,1,0
11,mix,grasp,1,6
12,mix,pour,1,6
13,mix,transport,1,3
14,mix,wipe,1,6
15,pour,cut,1,0
16,pour,grasp,1,5
17,pour,mix,1,0
18,pour,transport,1,2
19,pour,wipe,1,0
20,transport,cut,1,0
21,transport,grasp,1,6
22,transport,mix,1,0
23,transport,pour,1,0
24,transport,wipe,1,0
25,wipe,cut,1,0
26,wipe,grasp,1,6
27,wipe,mix,1,6
28,wipe,pour,1,2
29,cut,grasp,2,6
30,cut,mix,2,5
31,cut,pour,2,6
32,cut,transport,2,6
33,cut,wipe,2,6
34,grasp,cut,2,1
35,grasp,mix,2,0
36,grasp,pour,2,5
37,grasp,transport,2,5
38,grasp,wipe,2,0
39,mix,cut,2,0
40,mix,grasp,2,6
41,mix,pour,2,6
42,mix,transport,2,6
43,mix,wipe,2,6
44,pour,cut,2,0
45,pour,grasp,2,5
46,pour,mix,2,0
47,pour,transport,2,3
48,pour,wipe,2,0
49,transport,cut,2,0
50,transport,grasp,2,6
51,transport,mix,2,0
52,transport,pour,2,0
53,transport,wipe,2,0
54,wipe,cut,2,1
55,wipe,grasp,2,6
56,wipe,mix,2,6
57,wipe,pour,2,2
58,wipe,transport,2,3
59,cut,grasp,3,6
60,cut,mix,3,6
61,cut,pour,3,6
62,cut,transport,3,6
63,cut,wipe,3,6
64,grasp,cut,3,1
65,grasp,mix,3,0
66,grasp,pour,3,2
67,grasp,transport,3,5
68,grasp,wipe,3,1
69,mix,cut,3,0
70,mix,grasp,3,6
71,mix,pour,3,6
72,mix,transport,3,6
73,mix,wipe,3,6
74,pour,cut,3,0
75,pour,grasp,3,5
76,pour,mix,3,0
77,pour,transport,3,2
78,pour,wipe,3,0
79,transport,cut,3,0
80,transport,grasp,3,6
81,transport,mix,3,0
82,transport,pour,3,0
83,transport,wipe,3,0
84,wipe,cut,3,0
85,wipe,grasp,3,6
86,wipe,mix,3,6
87,wipe,pour,3,1
88,wipe,transport,3,5
89,cut,grasp,4,6
90,cut,mix,4,5
91,cut,pour,4,6
92,cut,transport,4,6
93,cut,wipe,4,6
94,grasp,cut,4,0
95,grasp,mix,4,0
96,grasp,pour,4,5
97,grasp,transport,4,5
98,grasp,wipe,4,1
99,mix,cut,4,0
100,mix,grasp,4,6
101,mix,pour,4,6
102,mix,transport,4,4
103,mix,wipe,4,6
104,pour,cut,4,1
105,pour,grasp,4,5
106,pour,mix,4,0
107,pour,transport,4,2
108,pour,wipe,4,0
109,transport,cut,4,0
110,transport,grasp,4,6
111,transport,mix,4,0
112,transport,pour,4,0
113,transport,wipe,4,0
114,wipe,cut,4,0
115,wipe,grasp,4,6
116,wipe,mix,4,6
117,wipe,pour,4,1
118,wipe,transport,4,5
119,cut,grasp,5,6
120,cut,mix,5,5
121,cut,pour,5,6
122,cut,transport,5,6
123,cut,wipe,5,6
124,grasp,cut,5,0
125,grasp,mix,5,0
126,grasp,pour,5,5
127,grasp,transport,5,5
128,grasp,wipe,5,1
129,mix,cut,5,0
130,mix,grasp,5,6
131,mix,pour,5,6
132,mix,transport,5,6
133,mix,wipe,5,6
134,pour,cut,5,0
135,pour,grasp,5,5
136,pour,mix,5,0
137,pour,transport,5,3
138,pour,wipe,5,0
139,transport,cut,5,0
140,transport,grasp,5,6
141,transport,mix,5,0
142,transport,pour,5,0
143,transport,wipe,5,0
144,wipe,cut,5,0
145,wipe,grasp,5,6
146,wipe,mix,5,6
147,wipe,pour,5,1
