,Target Name,Reference Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,grasp,1,0.5190213965024438,0.8707960247993469,0.38673930534128714,0.24438956747649138,0.44557149925779316,0.5714285666737245,35,1,NaN,NaN
1,cut,mix,1,0.728345634197313,0.9134782552719116,0.576958341997093,0.5056808597313519,0.6533894111825829,0.6749225956364963,52,1,NaN,NaN
2,cut,pour,1,0.5581040281796595,0.8553358912467957,0.4354849996609045,0.3080673449305594,0.5153389411182583,0.5079365029732427,42,1,NaN,NaN
3,cut,transport,1,0.42329847197637066,0.8345047235488892,0.32888292477050696,0.19230000542134956,0.41291439881246905,0.49011857269383996,30,1,NaN,NaN
4,cut,wipe,1,0.5567901333143827,0.8422220945358276,0.39350250406061404,0.32629648852854803,0.5121227115289461,0.5099337699221526,45,1,NaN,NaN
5,grasp,cut,1,0.6712453183942757,0.9063584208488464,0.5352186409379058,0.4773588946031089,0.647812166488794,0.6986301320623006,22,1,NaN,NaN
6,grasp,mix,1,0.6857330025443202,0.9183738827705383,0.5545324409803865,0.5319497397105036,0.6840981856990395,0.7619047569716322,22,1,NaN,NaN
7,grasp,pour,1,0.7140119293511434,0.9001584053039551,0.5610848286814755,0.5328943521037318,0.6691568836712913,0.6586826297321526,25,1,NaN,NaN
8,grasp,transport,1,0.7217638733046504,0.8907377123832703,0.584415752346819,0.3993829245642416,0.5863659661711942,0.5113636313868802,29,1,NaN,NaN
9,grasp,wipe,1,0.7642758918442171,0.9081611037254333,0.6122545826642314,0.5135877385683456,0.6587012987012987,0.6321839030624918,27,1,NaN,NaN
10,mix,cut,1,0.5718446047579503,0.8692030310630798,0.455712165543651,0.23113185953576956,0.5134739308728764,0.5039370029980161,36,1,NaN,NaN
11,mix,grasp,1,0.5447776327874716,0.8600330352783203,0.4133663845691987,0.2288928875144039,0.5008787346221442,0.4919354790429892,38,1,NaN,NaN
12,mix,pour,1,0.5166545472647093,0.8465403318405151,0.4448254080799957,0.22721525684609858,0.5,0.48091602560893887,41,1,NaN,NaN
13,mix,transport,1,0.4678346972942055,0.7914925813674927,0.37285224022719604,0.18767672140012875,0.4513766842413591,0.37903225323653744,31,1,NaN,NaN
14,mix,wipe,1,0.5372020949491911,0.8195100426673889,0.4312941695629489,0.24359209084393185,0.4853544229642648,0.40140844571042456,47,1,NaN,NaN
15,pour,cut,1,0.7062209016541673,0.8844183087348938,0.5225888331486922,0.4191726639699657,0.6727564102564103,0.6139534835045971,36,1,NaN,NaN
16,pour,grasp,1,0.7156214704737817,0.8691211342811584,0.5703344976685176,0.3314096084301037,0.6333333333333333,0.5152838378368072,37,1,NaN,NaN
17,pour,mix,1,0.7234592322896934,0.8755505084991455,0.5330937013974617,0.3528819033309939,0.6259615384615385,0.5281385231723543,40,1,NaN,NaN
18,pour,transport,1,0.8975355962215801,0.9291298389434814,0.7845848034537581,0.6226239469037389,0.7351744186046512,0.7099236591326263,43,1,NaN,NaN
19,pour,wipe,1,0.9475248324478409,0.969628095626831,0.8584886938252636,0.8681123711327923,0.8146853146853147,0.8740157430327361,40,1,NaN,NaN
20,transport,cut,1,0.621087166119676,0.8814705610275269,0.5137279980967491,0.3357894447699078,0.5803937653814601,0.5617977481145058,23,1,NaN,NaN
21,transport,grasp,1,0.5614703288428724,0.875128448009491,0.48617299906950295,0.3020664580076145,0.502050861361772,0.5287356275644075,19,1,NaN,NaN
22,transport,mix,1,0.5849194151698079,0.8789334893226624,0.4775523941298617,0.3009135745836038,0.5459392945036916,0.5632183861850971,20,1,NaN,NaN
23,transport,pour,1,0.9131420406731472,0.9529497623443604,0.829654079159921,0.7574390966204171,0.8601312551271534,0.8476190426353742,34,1,NaN,NaN
24,transport,wipe,1,0.9235782445543542,0.9557377099990845,0.829431402053783,0.7508590130643841,0.8572600492206727,0.8450704175441381,34,1,NaN,NaN
25,wipe,cut,1,0.4514470113657642,0.8528050780296326,0.3616121416357313,0.17293351624077266,0.44036697247706424,0.5809128582152512,35,1,NaN,NaN
26,wipe,grasp,1,0.5176755502159435,0.8407246470451355,0.42907184903836937,0.19532158261563534,0.47102848865282476,0.49999999505157466,38,1,NaN,NaN
27,wipe,mix,1,0.4394844785221676,0.8437305092811584,0.38646844099775357,0.17171225250331382,0.4674070497344278,0.5158730109438777,39,1,NaN,NaN
28,wipe,pour,1,0.6415312267984202,0.9181235432624817,0.6461172209437279,0.3916701835753197,0.6161274746499276,0.7410071892456397,45,1,NaN,NaN
29,wipe,transport,1,0.706014876224125,0.9121691584587097,0.6706978505788302,0.4000370170923331,0.6057460164171897,0.6847457577215744,50,1,NaN,NaN
30,cut,grasp,2,0.530500943067539,0.8753609657287598,0.3983232727119875,0.2699610974817793,0.4789708065314201,0.5785714238165817,37,1,0,0.15
31,cut,mix,2,0.7186203947078273,0.9155979156494141,0.563604839220476,0.47066544970141977,0.6343394359228105,0.6624605628544418,54,1,0,0.3
32,cut,pour,2,0.5671743224742647,0.8640393018722534,0.4407652745435799,0.3141737284481157,0.5106382978723405,0.5049180278604677,40,1,0,0.3
33,cut,transport,2,0.5286323927865775,0.8248589634895325,0.3781626256791236,0.2532654648503852,0.49455714992577937,0.44370860435923865,41,1,0,0.15
34,cut,wipe,2,0.5716883158197757,0.8416208028793335,0.40270156195367046,0.3135000819587195,0.5178129638792677,0.5032679689254134,49,1,0,0.15
35,grasp,cut,2,0.6883268928836802,0.9022261500358582,0.5296825952294881,0.4689053311354054,0.6616862326574173,0.6944444395408952,22,1,1,0.8
36,grasp,mix,2,0.7341537979648427,0.9177100658416748,0.5650682909102684,0.5738407894121216,0.7337246531483458,0.7567567518151936,22,1,1,0.8
37,grasp,pour,2,0.7141535184855915,0.90004962682724,0.5611113121373966,0.5291011680981069,0.6696905016008539,0.6586826297321526,25,1,0,0.5
38,grasp,transport,2,0.6941487586556915,0.8882966041564941,0.5402627110779438,0.3702491834205039,0.5617154811715481,0.4858757012416611,29,1,0,0.0
39,grasp,wipe,2,0.7423092991833112,0.906707763671875,0.5647762848642386,0.5373873000622525,0.6035218783351121,0.6352941126532873,28,1,0,0.5
40,mix,cut,2,0.5372147215890138,0.8619800806045532,0.45364862337204653,0.2352573663342329,0.5043936731107206,0.4819277060066774,34,1,1,0.8
41,mix,grasp,2,0.5009212247123144,0.8632848262786865,0.4058094123075797,0.19296710267422254,0.4698301113063855,0.49792530644513705,34,1,0,0.4
42,mix,pour,2,0.5434267996048712,0.8288694620132446,0.4293924279992922,0.25327934720178685,0.4809607498535442,0.44839857152315704,42,1,0,0.8
