Generated,Reference,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Halve,Close,0.2,0.0268595442175865,0.0855097373008226,0.9053748781023344,0.7849462315591398,0.6639344212295082,0.7849462315591398,0.99268639087677,0.8628252397646309,47.0,0.0
Hold,Close,0.3333333333333333,0.7839381098747253,0.143589044210939,0.8279962245349874,0.7160220944513294,0.5665780186186341,0.7160220944513294,0.9585596561431885,0.8082521993122478,44.6,0.0
Open,Close,0.3333333333333333,0.720828115940094,0.045264758045214,0.9848109429494574,0.9569892423118279,0.9344262245081968,0.9569892423118279,0.9980478286743164,0.9858229288280504,47.0,0.0
Pick-Up,Close,0.25,0.5153879523277283,0.0702866678284649,0.901644773401135,0.7849462315591398,0.6639344212295082,0.7849462315591398,0.9895555377006533,0.8615163797980759,47.0,0.0
Place-Down,Close,0.25,0.7576097846031189,0.0519029166068075,0.7817385864173013,0.6298342491474619,0.4641350161014082,0.6298342491474619,0.9543588757514954,0.7724848920639804,45.0,0.0
Pour,Close,0.25,0.2032543271780014,0.0815941431836668,0.7885809632790681,0.7853403091395522,0.643410847727901,0.7853403091395522,0.9679061770439148,0.9423647712069728,52.0,0.0
Slice,Close,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.9053748781023344,0.7849462315591398,0.6639344212295082,0.7849462315591398,0.9947975873947144,0.8634915399661868,47.0,0.0
Wipe,Close,0.25,0.3031245172023773,0.1558799708666,0.7758553920634522,0.6298342491474619,0.4641350161014082,0.6298342491474619,0.9534735679626463,0.7603035184112045,45.0,0.0
Close,Halve,0.2,0.0268595442175865,0.0855097373008226,0.6804993555191773,0.6868686819686768,0.6710963405905013,0.6868686819686768,0.9566950798034668,0.7481300264364042,47.0,0.0
Hold,Halve,0.25,0.1863423883914947,0.0978263036860699,0.586694987757563,0.6387434506652778,0.6041666618173709,0.6387434506652778,0.9483654499053957,0.6701788440282835,43.0,0.0
Open,Halve,0.25,0.1374186873435974,0.0827258509852445,0.8519647318438605,0.6826923027297522,0.6561514145803025,0.6826923027297522,0.9576184749603271,0.8556371418960571,55.0,0.0
Pick-Up,Halve,0.2,0.1682204008102417,0.0710081231639225,0.3737964717248971,0.3832460703991667,0.3624999970904225,0.3832460703991667,0.5706741571426392,0.40381956461086793,26.2,0.0
Place-Down,Halve,0.2,0.1131073385477066,0.114183228214588,0.37747558137434467,0.41379310048678686,0.3812709000610731,0.41379310048678686,0.5718813300132751,0.42210666353327414,25.6,0.0
Pour,Halve,0.2,0.3157775104045868,0.0776414292502186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Slice,Halve,0.1818181818181818,0.3771482706069946,0.0934805650414641,0.9483101776754044,0.8839285664289701,0.8520710009171598,0.8839285664289701,0.9837759733200071,0.951577890186526,58.0,0.0
Wipe,Halve,0.2,0.5097624063491821,0.11827822412400799,0.7205943068916482,0.5446009339857613,0.41904761407427565,0.5446009339857613,0.9464186429977415,0.7326692187508614,50.0,0.0
Close,Hold,0.3333333333333333,0.7839381098747253,0.143589044210939,0.931352075228696,0.8555555505580248,0.8285714235716839,0.8555555505580248,0.9850582480430605,0.9353750747649198,51.0,0.0
Halve,Hold,0.25,0.1863423883914947,0.0978263036860699,0.843248988330829,0.7292817629571746,0.6350364913546274,0.7292817629571746,0.9638901948928831,0.8373488469255858,50.0,0.0
Open,Hold,0.5,0.739703357219696,0.103886621549432,0.9326307068563834,0.8618784480400477,0.8285714235716839,0.8618784480400477,0.9812101721763613,0.9361244687581427,51.0,0.0
Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.985837454407233,0.9723756856091084,0.9642857092859696,0.9723756856091084,0.9929850697517397,0.9883098410458852,51.0,0.0
Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.9339727057463068,0.857142852143461,0.8285714235716839,0.857142852143461,0.9878512620925906,0.9376122726479638,51.0,0.0
