,Target Name,Target Detail,Reference Name,Reference Detail,Closer to reference by n metrics
0,cut,1,wipe,1,3
1,cut,1,wipe,2,4
2,cut,1,wipe,3,4
3,cut,2,wipe,1,3
4,cut,2,wipe,2,4
5,cut,2,wipe,3,3
6,cut,3,wipe,1,3
7,cut,3,wipe,2,5
8,cut,3,wipe,3,5
9,grasp,1,cut,1,0
10,grasp,1,cut,2,0
11,grasp,1,cut,3,0
12,grasp,2,cut,1,0
13,grasp,2,cut,2,0
14,grasp,2,cut,3,0
15,grasp,3,cut,1,0
16,grasp,3,cut,2,0
17,grasp,3,cut,3,0
18,mix,1,grasp,1,6
19,mix,1,grasp,2,6
20,mix,1,grasp,3,6
21,mix,2,grasp,1,6
22,mix,2,grasp,2,6
23,mix,2,grasp,3,6
24,mix,3,grasp,1,6
25,mix,3,grasp,2,6
26,mix,3,grasp,3,6
27,pour,1,mix,1,0
28,pour,1,mix,2,0
29,pour,1,mix,3,0
30,pour,2,mix,1,0
31,pour,2,mix,2,0
32,pour,2,mix,3,0
33,pour,3,mix,1,0
34,pour,3,mix,2,0
35,pour,3,mix,3,1
36,transport,1,pour,1,0
37,transport,1,pour,2,0
38,transport,1,pour,3,0
39,transport,2,pour,1,0
40,transport,2,pour,2,0
41,transport,2,pour,3,0
42,transport,3,pour,1,0
43,transport,3,pour,2,0
44,transport,3,pour,3,0
45,wipe,1,transport,1,5
46,wipe,1,transport,2,6
47,wipe,1,transport,3,5
48,wipe,2,transport,1,6
49,wipe,2,transport,2,6
50,wipe,2,transport,3,4
51,wipe,3,transport,1,3
52,wipe,3,transport,2,3
53,wipe,3,transport,3,3
