,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
chrF,0.5082546631464447,3.1473549072949946e-11,-0.48490318419809053,3.212902113725634e-10,0.24423432439389117,0.002595551168647783,0.009627854781311668,0.906913196969545
CodeBERTScore,0.3319726604148221,3.322961355259503e-05,-0.39130973871867963,7.370227734870067e-07,0.2549307181629667,0.0016421294474006335,0.16367353128229833,0.04535671504693471
CodeBLEU,0.347541726183142,1.315500844251097e-05,-0.3948752033083715,5.718498367117406e-07,0.2611702811949274,0.001246034549164996,0.10590640259442834,0.19709813616791755
CrystalBLEU,0.37064421087161675,3.028773293349427e-06,-0.38150471109702716,1.4586095921341433e-06,0.24423432439389117,0.002595551168647783,0.057767128687870005,0.48257436877706694
Edit Distance,0.21344686940438634,0.008726015488981172,-0.315543616187728,8.380732093204027e-05,0.10428983924848637,0.20406121490150134,-0.12516211215705167,0.12698479508887414
ROUGE-L,0.31339022707844016,9.424155714188057e-05,-0.31197815159803616,0.00010172999925548982,0.21749333997120235,0.007505587403970776,0.12516211215705167,0.12698479508887414
LoC,-0.3751207172756738,2.2483108512829224e-06,0.2548628204701755,0.0016470089677572005,0.013413832656325026,0.8705828150958601,-0.043465785608739003,0.5974012134121407
Compilation Success,0.3699517124130266,3.1704003895286225e-06,-0.4040610178208842,2.9333654480843754e-07,0.25253813613805265,0.0018222536702981467,-0.21821789023599236,0.007303818395934303
Run Success,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Simulation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
