,Target Name,Reference Name,run,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success,Run Success,Simulation
0,cut,grasp,1,0.5316578741870251,0.8617751598358154,0.39350088154838847,0.263386150916464,0.48095002474022763,0.5492957698564274,44,1,0,NaN
1,cut,mix,1,0.6014315928980353,0.8928630352020264,0.46678473134324816,0.3514238427518007,0.607619990103909,0.6460481051192122,46,1,1,NaN
2,cut,pour,1,0.5671656179422874,0.861426055431366,0.43691052289657695,0.36464766826578304,0.5111331024245422,0.5315614568867894,40,1,0,NaN
3,cut,transport,1,0.5371200558952911,0.8574827909469604,0.3820421273622423,0.33260158630709113,0.500247402276101,0.4949152493642058,39,1,0,NaN
4,cut,wipe,1,0.5446997898289169,0.8517943620681763,0.3891701100467847,0.318947980052704,0.5019792182088075,0.5167785185989371,39,1,0,NaN
5,grasp,cut,1,0.7919619982097622,0.9129303693771362,0.5958193593782393,0.4775926522823409,0.6622198505869797,0.6708074484178852,26,1,1,NaN
6,grasp,mix,1,0.7244933704673923,0.9101295471191406,0.5489746011701953,0.4644398638254599,0.667556029882604,0.7051282001413546,25,1,1,NaN
7,grasp,pour,1,0.7552858575523089,0.9064055681228638,0.6450690305287449,0.5232731656900074,0.6809071729957805,0.5909090859323348,27,1,0,NaN
8,grasp,transport,1,0.6407519013875812,0.8933948874473572,0.5344885341005747,0.4090598325474462,0.5933831376734258,0.5827814519907022,20,1,0,NaN
9,grasp,wipe,1,0.7177375460838551,0.8973820209503174,0.6226385605569777,0.5029819946433853,0.6558164354322304,0.582857137876898,27,1,0,NaN
10,mix,cut,1,0.6084096999862055,0.8907967805862427,0.43035945115061924,0.2819390540771869,0.5131810193321618,0.6068376021663379,29,1,1,NaN
11,mix,grasp,1,0.5165050784160116,0.8517180681228638,0.38056037611247207,0.24314614829991035,0.44317516110134736,0.47199999515488,32,1,0,NaN
12,mix,pour,1,0.5022319613210372,0.8339728116989136,0.42689730758869465,0.26139084933797735,0.4718804920913884,0.45185184689135804,35,1,0,NaN
13,mix,transport,1,0.4816198932203648,0.8066866993904114,0.37227007390466293,0.2598490517055956,0.47949619214997075,0.4143426246288155,37,1,0,NaN
14,mix,wipe,1,0.4589233585787799,0.8197205066680908,0.3808022120449371,0.23130444434044628,0.46953719976567077,0.4263565842446368,39,1,0,NaN
15,pour,cut,1,0.6499527944956612,0.8750630021095276,0.47657320713988754,0.35376288684669693,0.5948717948717949,0.5688073345572765,35,1,0,NaN
16,pour,grasp,1,0.658357126621375,0.8614940047264099,0.5628268786437889,0.30608413071112456,0.5881410256410257,0.5201793672706069,33,1,0,NaN
17,pour,mix,1,0.6915769124883405,0.8729800581932068,0.4975882609541707,0.3362460520285281,0.5891025641025641,0.5309734463838202,37,1,0,NaN
18,pour,transport,1,0.8750610219256104,0.943634569644928,0.7856973960097253,0.6865997606951645,0.756267851475722,0.7335907285967712,42,1,0,NaN
19,pour,wipe,1,0.8636529217633421,0.9432437419891357,0.8140720443326965,0.7501041488262681,0.7121116043119848,0.8373983689850619,45,1,0,NaN
20,transport,cut,1,0.5606149869448074,0.8783809542655945,0.4523261913707013,0.3131695029030007,0.4987694831829368,0.5868263428477178,17,1,0,NaN
21,transport,grasp,1,0.5610296928694655,0.8692669868469238,0.48951155974436045,0.2787533582214044,0.4753896636587367,0.502857138217796,19,1,0,NaN
22,transport,mix,1,0.5998054028331344,0.8734807372093201,0.44313063318119295,0.327148229279912,0.5455291222313372,0.5714285667892245,20,1,0,NaN
23,transport,pour,1,0.8172283093896686,0.9394427537918091,0.7735546494887894,0.6786407459975738,0.7756357670221493,0.8195121901563356,29,1,0,NaN
24,transport,wipe,1,0.8679929117847226,0.9371589422225952,0.8189447718809445,0.6578717441273417,0.8219852337981952,0.7942583682250866,33,1,0,NaN
25,wipe,cut,1,0.48023770185759934,0.8512263894081116,0.3651556343285398,0.18573096957402965,0.44616127474649925,0.5645161241262358,34,1,0,NaN
26,wipe,grasp,1,0.4929546863316003,0.8394114971160889,0.42061894732571087,0.21000276470415652,0.44712699179140514,0.5254901911344868,43,1,0,NaN
27,wipe,mix,1,0.443240255051552,0.8226865530014038,0.41699850708781316,0.1714609950616172,0.45992274263640753,0.5149253681479729,43,1,0,NaN
28,wipe,pour,1,0.6792102118754518,0.9441841840744019,0.6436917095916852,0.5115871938825161,0.6327860936745533,0.8296296246395062,42,1,0,NaN
29,wipe,transport,1,0.6714095200403157,0.9092452526092529,0.6429059362860834,0.4128771720072661,0.5808788025108643,0.6832740163523766,46,1,0,NaN
30,cut,grasp,2,0.49247802939434604,0.8638152480125427,0.3680888488118721,0.2164347121204574,0.42577931716971795,0.5395683405887376,37,1,0,NaN
31,cut,mix,2,0.757277079322042,0.9273301959037781,0.6029451883345786,0.5337406207801129,0.6481939633844631,0.717791406054989,56,1,1,NaN
32,cut,pour,2,0.5671656179422874,0.860815167427063,0.43691052289657695,0.36464766826578304,0.5106382978723405,0.5266666617646667,40,1,0,NaN
33,cut,transport,2,0.5363846866559091,0.8511696457862854,0.3833560484373741,0.3302510486628905,0.5029688273132114,0.4881355883472567,40,1,0,NaN
34,cut,wipe,2,0.5642826000578013,0.8490518927574158,0.39302452496099644,0.3233435243805978,0.5150915388421573,0.5100671092029639,41,1,0,NaN
35,grasp,cut,2,0.7919619982097622,0.9129303693771362,0.5958193593782393,0.4775926522823409,0.6622198505869797,0.6708074484178852,26,1,1,NaN
36,grasp,mix,2,0.7244933704673923,0.9101295471191406,0.5489746011701953,0.4644398638254599,0.667556029882604,0.7051282001413546,25,1,1,NaN
37,grasp,pour,2,0.7552858575523089,0.9064055681228638,0.6450690305287449,0.5232731656900074,0.6809071729957805,0.5909090859323348,27,1,0,NaN
38,grasp,transport,2,0.7048874841589964,0.8954682350158691,0.535826667904854,0.43431833633180167,0.6382070437566703,0.5695364188781195,20,1,0,NaN
39,grasp,wipe,2,0.6524847573787259,0.8876118063926697,0.6013599242962524,0.4719585402395485,0.5949839914621131,0.5664739834528384,27,1,0,NaN
40,mix,cut,2,0.6492018903457487,0.8963445425033569,0.48228390557519235,0.34809575687772104,0.5301698886936146,0.6245059239850645,34,1,0,NaN
41,mix,grasp,2,0.46136851134826257,0.8386862277984619,0.36454844820888943,0.20364692431438397,0.40949033391915646,0.46153845671950045,32,1,0,NaN
