,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
ROUGE-L,0.23805603787689206,0.0033518321913216112,-0.2994990255341147,0.00019667357122407837,0.3137608838928821,9.236308590425083e-05,0.4043699008150901,2.8672478559171563e-07
chrF,0.04369382973689791,0.5954777337704502,-0.13637902055571297,0.09609109279302659,0.15420634350417217,0.05954862638856246,0.1540456765009867,0.05981781944600527
CodeBERTScore,0.21746469282846895,0.007513665601334217,-0.27454077340627187,0.0006741913232786387,0.30395585627122956,0.00015594252476249274,0.4043699008150901,2.8672478559171563e-07
CodeBLEU,0.10546786488216736,0.19896981458820087,-0.24690842283616007,0.002319038433386279,0.19164372169593652,0.01880719043376787,0.2792077886580384,0.0005400751593082148
CrystalBLEU,0.11450796758635313,0.1629276732608728,-0.21125377693924163,0.009458235091608624,0.22195017070831716,0.006338883705463052,0.31771920778328505,7.437046917601124e-05
Edit Distance,0.173770863091571,0.033448925445669846,-0.29236809635473104,0.00028291271874973867,0.1693595680103625,0.038278309522592334,0.13478996693836334,0.10006532816244827
LoC,-0.7825887649479865,2.866694807600459e-32,0.5720023198604918,2.075453539863315e-14,-0.3716676540123164,2.8304160003962505e-06,0.019277164398874672,0.814874129189022
Compilation Success,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Run Success,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Simulation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
