,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,Halve,Close,0.2,0.026859529316425323,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9538000822067261,0.8642741108240543
1,Hold,Close,0.3333333333333333,0.7839381098747253,0.07975624238341307,0.30136985838900365,0.16504853885945908,0.26027396797804475,0.8879954814910889,0.35083876473401227
2,Open,Close,0.3333333333333333,0.720828115940094,0.6734221254403355,0.8023952046455591,0.7557603637410011,0.8023952046455591,0.9520941376686096,0.7797648949484025
3,Pick-Up,Close,0.25,0.5153879523277283,0.7379874920076877,0.7065868214120263,0.5844748809099061,0.7065868214120263,0.9522169232368469,0.72778990026107
4,Place-Down,Close,0.25,0.7576097846031189,0.370364484993536,0.40268455906670875,0.23589743121314927,0.37583892148281617,0.9380359649658203,0.47504174516447933
5,Pour,Close,0.25,0.2032543271780014,0.7493541191724107,0.7999999950106509,0.6415094289936634,0.7794871744978304,0.9581091403961182,0.9389513726369932
6,Slice,Close,0.2222222222222222,0.38084927201271057,0.903967223202745,0.7999999950001462,0.6721311425409836,0.7999999950001462,0.9561603665351868,0.8589986871350243
7,Wipe,Close,0.25,0.30312448740005493,0.8344987988907593,0.7789473634232688,0.6328124950109865,0.768421047633795,0.9634844660758972,0.852126293664845
8,Close,Halve,0.2,0.026859529316425323,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9567964673042297,0.8652865460707942
9,Hold,Halve,0.25,0.18634237349033356,0.45181036212280623,0.622950814948192,0.5839416011122064,0.622950814948192,0.9422805905342102,0.5756824042869729
10,Open,Halve,0.25,0.13741867244243622,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9557874798774719,0.8616260026356696
11,Pick-Up,Halve,0.2,0.1682203710079193,0.5286964725478814,0.6595744632893844,0.6192170770562684,0.6595744632893844,0.9479949474334717,0.6350085371405078
12,Place-Down,Halve,0.2,0.11310732364654541,0.7323716803486724,0.6116504804840229,0.5632911342647413,0.6116504804840229,0.9490187764167786,0.759628925104812
13,Pour,Halve,0.2,0.3157775104045868,0.7190216205661604,0.534482753624034,0.4249291734792832,0.534482753624034,0.941096842288971,0.7898564595816214
14,Slice,Halve,0.18181818181818182,0.37714821100234985,0.8993154094611367,0.7767857092861128,0.7455621251775149,0.7767857092861128,0.9826247096061707,0.9086624064436398
15,Wipe,Halve,0.2,0.5097622871398926,0.7819366543858782,0.5769230719605215,0.5236593010156337,0.5769230719605215,0.9473660588264465,0.7772891154310537
16,Close,Hold,0.3333333333333333,0.7839381098747253,0.35082137009957093,0.5594405548515821,0.3738317712057822,0.5594405548515821,0.9441676139831543,0.546439725687342
17,Halve,Hold,0.25,0.18634237349033356,0.8113337116256215,0.7005649667592327,0.5873605898072167,0.666666661674487,0.9503989219665527,0.8134220395856305
18,Open,Hold,0.5,0.739703357219696,0.3619878457097412,0.569444439830247,0.4299065375609224,0.569444439830247,0.9433310031890869,0.5482579692157244
19,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9808005446465402,0.9670329620335709,0.9499999950002551,0.9670329620335709,0.9891449809074402,0.9852361228858594
20,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.8225666451123884,0.7403314867140808,0.6236559089790729,0.7071823154433626,0.9546931385993958,0.8416705315806702
21,Pour,Hold,0.3333333333333333,0.36530041694641113,0.43371949612387534,0.333333328425545,0.17142856654260738,0.29629629138850794,0.9254261255264282,0.5160252905355962
22,Slice,Hold,0.2857142857142857,0.36973074078559875,0.8199363297329628,0.747126431798124,0.6616541303564363,0.7126436731774343,0.9522936344146729,0.8272869998136906
23,Wipe,Hold,0.3333333333333333,0.43972694873809814,0.7721040221935416,0.8041237063534914,0.7320261388216072,0.8041237063534914,0.9611913561820984,0.9194523270604463
24,Close,Open,0.3333333333333333,0.720828115940094,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9838960766792297,0.9778603906884076
25,Halve,Open,0.25,0.13741867244243622,0.8725877163116853,0.8021977972002173,0.6804979203119782,0.8021977972002173,0.952833890914917,0.8351519047179158
26,Hold,Open,0.5,0.739703357219696,0.015171488187131604,0.30508474242315425,0.19999999696355558,0.30508474242315425,0.9009445309638977,0.1972973620806554
27,Pick-Up,Open,0.3333333333333333,0.494068443775177,0.6416690595475412,0.7169811272196511,0.612440186527781,0.7169811272196511,0.9487044215202332,0.6555200722130424
28,Place-Down,Open,0.3333333333333333,0.8066946268081665,0.44640059907856183,0.47741935003870967,0.28712870808744245,0.4516128984258065,0.9405879378318787,0.5292737924815817
29,Pour,Open,0.3333333333333333,0.2541566789150238,0.7828635594533515,0.8124999950048829,0.6692307642497042,0.8124999950048829,0.9570434093475342,0.9454225659011541
30,Slice,Open,0.2857142857142857,0.31941211223602295,0.8364327333249495,0.7891891841893353,0.6747967429678101,0.7891891841893353,0.9513839483261108,0.8244219762691306
31,Wipe,Open,0.3333333333333333,0.3229246437549591,0.883166854439055,0.797814202651617,0.6666666616667514,0.797814202651617,0.9559012055397034,0.839437337687845
32,Close,Pick-Up,0.25,0.5153879523277283,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9934811592102051,0.9778603906884076
33,Halve,Pick-Up,0.2,0.1682203710079193,0.8725877163116853,0.8021977972002173,0.6721991651252562,0.7912087862112064,0.9527454972267151,0.8378779396786076
34,Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.08147159248600802,0.32258064141129034,0.22360248080089506,0.32258064141129034,0.930713951587677,0.27229118923984075
35,Open,Pick-Up,0.3333333333333333,0.494068443775177,0.699794660595763,0.8622754441665172,0.8387096724967615,0.8622754441665172,0.9600728750228882,0.8046558287972824
36,Place-Down,Pick-Up,0.25,0.6661379933357239,0.5434364991719414,0.40993788331931647,0.2452830139818441,0.39751552307086924,0.9420220255851746,0.58230067587031
37,Pour,Pick-Up,0.25,0.16679634153842926,0.5668742515816524,0.46938775011505623,0.3157894687184126,0.46938775011505623,0.9451633095741272,0.8289267688569993
38,Slice,Pick-Up,0.2222222222222222,0.44728294014930725,0.6227018501419262,0.6746987902533025,0.49999999508401927,0.6626505974822181,0.9606481790542603,0.6581083352785023
39,Wipe,Pick-Up,0.25,0.29693812131881714,0.28452761823026573,0.36734693412744696,0.20725388135949965,0.36734693412744696,0.9024578332901001,0.4069428641058613
40,Close,Place-Down,0.25,0.7576097846031189,0.020314962531938992,0.1692307661242604,0.06936415890808259,0.15384615073964505,0.8732835650444031,0.2093853437194513
41,Halve,Place-Down,0.2,0.11310732364654541,0.6536150948706517,0.7346938725765306,0.5992509313498577,0.7142857093112245,0.9318052530288696,0.7213410745368701
42,Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.009360166753585523,0.30158729880952384,0.23809523547902497,0.30158729880952384,0.8804634213447571,0.18516419005209117
43,Open,Place-Down,0.3333333333333333,0.8066946268081665,0.03393370971351281,0.19402984735464474,0.07821228722324534,0.16417910108598804,0.8520353436470032,0.2270693592685723
44,Pick-Up,Place-Down,0.25,0.6661379933357239,0.15171971056734398,0.3687943224385092,0.19251336532929172,0.3687943224385092,0.9265211820602417,0.3532464549128524
45,Pour,Place-Down,0.25,0.2918168306350708,0.05572195813429585,0.20289854708569632,0.08556149367153781,0.15942028621613116,0.8748201727867126,0.23012521686710966
46,Slice,Place-Down,0.2222222222222222,0.4426504373550415,0.12473376188470797,0.3076923037899164,0.2211055235504154,0.26573426183187443,0.8682572841644287,0.3669035150575018
47,Wipe,Place-Down,0.25,0.32125502824783325,0.029450368220640195,0.10937499705200204,0.04519773694021536,0.10937499705200204,0.8400653004646301,0.23275543780690158
48,Close,Pour,0.25,0.2032543271780014,0.7624902316232277,0.8176795530295169,0.7272727223079369,0.7624309342449865,0.9515928626060486,0.8058263752877924
49,Halve,Pour,0.2,0.3157775104045868,0.8923827177830572,0.808510633300136,0.7483443658644358,0.7553191439384337,0.9522031545639038,0.8974001132926853
50,Hold,Pour,0.3333333333333333,0.36530041694641113,0.596381207109085,0.7337278057434964,0.6217228415716312,0.7337278057434964,0.9502822756767273,0.6705945325555828
51,Open,Pour,0.3333333333333333,0.2541566789150238,0.7624902316232277,0.8176795530295169,0.7412587362939509,0.8176795530295169,0.9566404223442078,0.8059378098337632
52,Pick-Up,Pour,0.25,0.16679634153842926,0.6220857050609612,0.7931034433293699,0.7326007276925761,0.7931034433293699,0.9593446850776672,0.7186025430331245
53,Place-Down,Pour,0.25,0.2918168306350708,0.4896306205709727,0.5562130128440882,0.4137930986245064,0.544378693317461,0.9403730630874634,0.5906936713287111
54,Slice,Pour,0.2222222222222222,0.5407348275184631,0.8923827177830572,0.808510633300136,0.7615893989770186,0.808510633300136,0.9566998481750488,0.8989861942831915
55,Wipe,Pour,0.25,0.509205162525177,0.8923827177830572,0.808510633300136,0.7615893989770186,0.808510633300136,0.957344114780426,0.8951963299115162
56,Close,Slice,0.2222222222222222,0.38084927201271057,0.5709960406298045,0.7134502874593893,0.64638782777834,0.7134502874593893,0.9462175965309143,0.6672975292999666
57,Halve,Slice,0.18181818181818182,0.37714821100234985,0.9971550403323199,0.9894736792105263,0.9864864814864867,0.9894736792105263,0.9974266886711121,0.9972427475162525
